filepath,title,year
"Documents/A complete history of the English stage_  by Mr Dibdin  [pt5]   %1800.txt","A complete history of the English stage_  by Mr Dibdin  [pt5]   ",1800
"Documents/A complete history of the English stage_ ___ by Mr_ Dibdin_ ___ 1800_ Vol 5   %1800.txt","A complete history of the English stage_ ___ by Mr_ Dibdin_ ___ 1800_ Vol 5   ",1800
"Documents/A Concise History of the Introduction of Protestantism Mississipi and the Southwest 1866   %1866.txt","A Concise History of the Introduction of Protestantism Mississipi and the Southwest 1866   ",1866
"Documents/A Critical Analysis of Marx’s Dialectical Materialism (1-12) - Yohannes Eshetu   %2022.txt","A Critical Analysis of Marx’s Dialectical Materialism (1-12) - Yohannes Eshetu   ",2022
"Documents/A declaration of the affairs of the English people that first inhabited New England_ by Phinehas Pratt_  _   %1858.txt","A declaration of the affairs of the English people that first inhabited New England_ by Phinehas Pratt_  _   ",1858
"Documents/A dictionary of dates relating to all ages and nations _ for universal reference ; comprehending remarkable occurrences_ ancient and modern ___ _ by J  %1863.txt","A dictionary of dates relating to all ages and nations _ for universal reference ; comprehending remarkable occurrences_ ancient and modern ___ _ by J  ",1863
"Documents/A dictionary of dates_ relating to all ages and nations; for universal reference; comprehending remarkable occurrences_ ancient and modern_ the founda  %1861.txt","A dictionary of dates_ relating to all ages and nations; for universal reference; comprehending remarkable occurrences_ ancient and modern_ the founda  ",1861
"Documents/A dictionary of universal history_ chronology_ and historical biography _ compiled from the latest and best authorities_  _   %1823.txt","A dictionary of universal history_ chronology_ and historical biography _ compiled from the latest and best authorities_  _   ",1823
"Documents/A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations _ by Thomas Dew_  _   %1893.txt","A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations _ by Thomas Dew_  _   ",1893
"Documents/A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations_  _   %1876.txt","A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations_  _   ",1876
"Documents/A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations_ By Thomas Dew ____  _   %1872.txt","A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations_ By Thomas Dew ____  _   ",1872
"Documents/A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations_ By Thomas Dew_  _   %1853.txt","A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations_ By Thomas Dew_  _   ",1853
"Documents/A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations_ By Thomas Dew_  _   %1858.txt","A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations_ By Thomas Dew_  _   ",1858
"Documents/A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations_ _ By Thomas Dew_  _   %1854.txt","A digest of the laws_ customs_ manners_ and institutions of the ancient and modern nations_ _ By Thomas Dew_  _   ",1854
"Documents/A discourse delivered before the Rhode-Island Historical Society_ on the evening of Thursday February 1_ 1849_ Published at the request of the Society  %1849.txt","A discourse delivered before the Rhode-Island Historical Society_ on the evening of Thursday February 1_ 1849_ Published at the request of the Society  ",1849
"Documents/A discourse delivered before the Rhode-Island historical society_ on the evening of Thursday_ February 1_ 1849_  _   %1849.txt","A discourse delivered before the Rhode-Island historical society_ on the evening of Thursday_ February 1_ 1849_  _   ",1849
"Documents/A discourse on the moral tendencies and results of human history_  _   %1843.txt","A discourse on the moral tendencies and results of human history_  _   ",1843
"Documents/A discourse on the moral tendencies and results of human history_ delivered before the Society of Alumni_ in Yale College_ on Wednesday_ Aug_ 16_ 1843  %1843.txt","A discourse on the moral tendencies and results of human history_ delivered before the Society of Alumni_ in Yale College_ on Wednesday_ Aug_ 16_ 1843  ",1843
"Documents/A discourse on the qualifications and duties of an historian; delivered before the Georgia historical society_ on the occasion of its fourth anniversa  %1843.txt","A discourse on the qualifications and duties of an historian; delivered before the Georgia historical society_ on the occasion of its fourth anniversa  ",1843
"Documents/A historical grammar; or_ A chronological abridgment of universal history_ To which is added_ an abridged chronology of the most remarkable discoverie  %1802.txt","A historical grammar; or_ A chronological abridgment of universal history_ To which is added_ an abridged chronology of the most remarkable discoverie  ",1802
"Documents/A historical grammar_ or_ A chronological abridgment of universal history _ to which is added an abridged chronology of the most remarkable discoverie  %1808.txt","A historical grammar_ or_ A chronological abridgment of universal history _ to which is added an abridged chronology of the most remarkable discoverie  ",1808
"Documents/A History of England_ From the First Invasion by the Romans to the Accession of William and Mary in 1688 - Volume I   %1874.txt","A History of England_ From the First Invasion by the Romans to the Accession of William and Mary in 1688 - Volume I   ",1874
"Documents/A History of England_ From the First Invasion by the Romans to the Accession of William and Mary in 1688 - Volume II   %1874.txt","A History of England_ From the First Invasion by the Romans to the Accession of William and Mary in 1688 - Volume II   ",1874
"Documents/A History of England_ From the First Invasion by the Romans to the Accession of William and Mary in 1688 - Volume VII   %1874.txt","A History of England_ From the First Invasion by the Romans to the Accession of William and Mary in 1688 - Volume VII   ",1874
"Documents/A History of England_ From the First Invasion by the Romans to the Accession of William and Mary in 1688 - Volume X   %1874.txt","A History of England_ From the First Invasion by the Romans to the Accession of William and Mary in 1688 - Volume X   ",1874
"Documents/A history of England_ in a series of letters from a nobleman to his son_ ___ 1800_ Vol 1   %1800.txt","A history of England_ in a series of letters from a nobleman to his son_ ___ 1800_ Vol 1   ",1800
"Documents/A history of England_ in a series of letters from a nobleman to his son_ ___ 1800_ Vol 2   %1800.txt","A history of England_ in a series of letters from a nobleman to his son_ ___ 1800_ Vol 2   ",1800
"Documents/A History of English literature and of the chief English writers_ founded upon the manual of Thomas B_ Shaw   %1900.txt","A History of English literature and of the chief English writers_ founded upon the manual of Thomas B_ Shaw   ",1900
"Documents/A History of our country   %1950.txt","A History of our country   ",1950
"Documents/A History of Slavery_ ___ 1836   %1836.txt","A History of Slavery_ ___ 1836   ",1836
"Documents/A history of the Cochrane area   %1951.txt","A history of the Cochrane area   ",1951
"Documents/A History of the Priesthood from the beginning of the world to the present time_ ___ 1843   %1843.txt","A History of the Priesthood from the beginning of the world to the present time_ ___ 1843   ",1843
"Documents/A history of the valley of Virginia   %1833.txt","A history of the valley of Virginia   ",1833
"Documents/A history of the world_ on a new and systematic plan _ from the earliest times to the treaty of Vienna_ To which is added a summary of leading events   %1851.txt","A history of the world_ on a new and systematic plan _ from the earliest times to the treaty of Vienna_ To which is added a summary of leading events   ",1851
"Documents/A manual of ancient and modern history _ By W_C_ Taylor ___ Revised_ with a chapter on the history of the United States_ by C_S_ Henry ___ With questi  %1867.txt","A manual of ancient and modern history _ By W_C_ Taylor ___ Revised_ with a chapter on the history of the United States_ by C_S_ Henry ___ With questi  ",1867
"Documents/A manual of ancient and modern history _ Revised_ with a chapter on the history of the United States _ by C_S_ Henry_ With questions adapted for schoo  %1854.txt","A manual of ancient and modern history _ Revised_ with a chapter on the history of the United States _ by C_S_ Henry_ With questions adapted for schoo  ",1854
"Documents/A manual of ancient and modern history ___ By W_ C_ Taylor_ Revised_ with a chapter on the history of the United States_ by C_ S_ Henry_ With question  %1851.txt","A manual of ancient and modern history ___ By W_ C_ Taylor_ Revised_ with a chapter on the history of the United States_ by C_ S_ Henry_ With question  ",1851
"Documents/A manual of ancient and modern history ___ By W_C_ Taylor ___ Revised_ with a chapter on the history of the United States_ by C_S_ Henry ___ With ques  %1876.txt","A manual of ancient and modern history ___ By W_C_ Taylor ___ Revised_ with a chapter on the history of the United States_ by C_S_ Henry ___ With ques  ",1876
"Documents/A manual of ancient and modern history ___ _ revised_ with a chapter on the history of the United States_ by C_S_ Henry_ With questions adapted for sc  %1867.txt","A manual of ancient and modern history ___ _ revised_ with a chapter on the history of the United States_ by C_S_ Henry_ With questions adapted for sc  ",1867
"Documents/A manual of ancient and modern history_ By W_ C_ Taylor_ Revised_ with a chapter on the history of the United States_ by C_ S_ Henry_ With questions a  %1857.txt","A manual of ancient and modern history_ By W_ C_ Taylor_ Revised_ with a chapter on the history of the United States_ by C_ S_ Henry_ With questions a  ",1857
"Documents/A manual of ancient and modern history___ _ by W_C_ Taylor ; revised_ with a chapter on the history of the United States by C_S_ Henry ; with question  %1872.txt","A manual of ancient and modern history___ _ by W_C_ Taylor ; revised_ with a chapter on the history of the United States by C_S_ Henry ; with question  ",1872
"Documents/A manual of Grecian and Roman antiquities_ translated from the German_ Edited with occasional notes_ and a complete series of questions by the Rev_ T_  %1874.txt","A manual of Grecian and Roman antiquities_ translated from the German_ Edited with occasional notes_ and a complete series of questions by the Rev_ T_  ",1874
"Documents/A manuel of ancient and modern history_ By W_ C_ Taylor___ Revised_ with a chapter on the history of the United States_ by C_ S_ Henry___ With questio  %1865.txt","A manuel of ancient and modern history_ By W_ C_ Taylor___ Revised_ with a chapter on the history of the United States_ by C_ S_ Henry___ With questio  ",1865
"Documents/A method of teaching college preparatory history _ I_B_ Burgess_  _   %1888.txt","A method of teaching college preparatory history _ I_B_ Burgess_  _   ",1888
"Documents/A new classified catalogue of the library of the Royal institution of Great Britain_ Volume_ II_ Including lthe additions from 1857 to 1882_  _   %1882.txt","A new classified catalogue of the library of the Royal institution of Great Britain_ Volume_ II_ Including lthe additions from 1857 to 1882_  _   ",1882
"Documents/A new classified catalogue of the library of the Royal institution of Great Britain_ with indexes of authors and subjects_ and a list of historical pa  %1890.txt","A new classified catalogue of the library of the Royal institution of Great Britain_ with indexes of authors and subjects_ and a list of historical pa  ",1890
"Documents/A new historical catachism_ containing witty answers to several questions of many wonderful matters in ancient history_ ___ The captivities of Jerusal  %1800.txt","A new historical catachism_ containing witty answers to several questions of many wonderful matters in ancient history_ ___ The captivities of Jerusal  ",1800
"Documents/A new history of the conquest of Mexico _ In which Las Casas' denunciations of the popular historians of that war are fully vindicated_  _   %1859.txt","A new history of the conquest of Mexico _ In which Las Casas' denunciations of the popular historians of that war are fully vindicated_  _   ",1859
"Documents/A NEW SELECTION OF 700 EVANGELICAL HYMNS_ 1806   %1806.txt","A NEW SELECTION OF 700 EVANGELICAL HYMNS_ 1806   ",1806
"Documents/A new translation of Volney's Ruins; or_ Meditations on the revolution of empires_ Made under the inspection of the author_  _   %1811.txt","A new translation of Volney's Ruins; or_ Meditations on the revolution of empires_ Made under the inspection of the author_  _   ",1811
"Documents/A Pamphlet containing the Full History of the Celebration of the Ninety-ninth Anniversary of American Independance in Atlanta_ Ga__ July 4th_ 1875_  _  %1875.txt","A Pamphlet containing the Full History of the Celebration of the Ninety-ninth Anniversary of American Independance in Atlanta_ Ga__ July 4th_ 1875_  _  ",1875
"Documents/A popular cyclopedia of history_ ancient and modern _ forming a copious historical dictionary of celebrated institutions_ persons_ places_ and things   %1857.txt","A popular cyclopedia of history_ ancient and modern _ forming a copious historical dictionary of celebrated institutions_ persons_ places_ and things   ",1857
"Documents/A popular cyclopedia of history_ ancient and modern_ forming a copious historical dictionary of celebrated institutions_ persons_ places and things; w  %1835.txt","A popular cyclopedia of history_ ancient and modern_ forming a copious historical dictionary of celebrated institutions_ persons_ places and things; w  ",1835
"Documents/A popular cyclopedia of history_ ancient and modern_ forming a copious historical dictionary of celebrated institutions_ persons_ places_ and things_   %1845.txt","A popular cyclopedia of history_ ancient and modern_ forming a copious historical dictionary of celebrated institutions_ persons_ places_ and things_   ",1845
"Documents/A prospect of exterminating the small-pox; being the history of the variolae vaccinae_ or kine-pox_ commonly called the cow-pox; ___with an account of  %1800.txt","A prospect of exterminating the small-pox; being the history of the variolae vaccinae_ or kine-pox_ commonly called the cow-pox; ___with an account of  ",1800
"Documents/A review of the origin_ progress_ and result of the decisive war with the late Tippoo Sultaun_ in Mysore_ with notes; by James Salmond_ ___ And an app  %1800.txt","A review of the origin_ progress_ and result of the decisive war with the late Tippoo Sultaun_ in Mysore_ with notes; by James Salmond_ ___ And an app  ",1800
"Documents/A school history of the United States_ from the earliest period to the present time_ By John G_ Shea_  _   %1855.txt","A school history of the United States_ from the earliest period to the present time_ By John G_ Shea_  _   ",1855
"Documents/A second series of Curiosities of literature _ consisting of researches in literary_ biographical and political history_ of critical and philosophical  %1824.txt","A second series of Curiosities of literature _ consisting of researches in literary_ biographical and political history_ of critical and philosophical  ",1824
"Documents/A Short economic and social history of England_ modern times   %1959.txt","A Short economic and social history of England_ modern times   ",1959
"Documents/A short guide to Mr_ Le Sage's historical maps_ which will enable every one to learn history by himself_ as well as to teach it to any one in a very s  %1800.txt","A short guide to Mr_ Le Sage's historical maps_ which will enable every one to learn history by himself_ as well as to teach it to any one in a very s  ",1800
"Documents/A Short story of the Irish race_ part II; from the flight of the earls to the present day   %1928.txt","A Short story of the Irish race_ part II; from the flight of the earls to the present day   ",1928
"Documents/A sketch of modern history _ from the destruction of the western empire_ A_D_ 476_ to the close of the year 1818 _ together with a concise view of the  %1819.txt","A sketch of modern history _ from the destruction of the western empire_ A_D_ 476_ to the close of the year 1818 _ together with a concise view of the  ",1819
"Documents/A Study of the USSR and communism_ an historical approach   %1966.txt","A Study of the USSR and communism_ an historical approach   ",1966
"Documents/A summary of geography and history_ both ancient and modern ___ with an abridgement of the fabulous history of mythology of the Greeks_ To which is pr  %1802.txt","A summary of geography and history_ both ancient and modern ___ with an abridgement of the fabulous history of mythology of the Greeks_ To which is pr  ",1802
"Documents/A summary of modern history _ translated from the French of M_ Michelet and continued to the present time by M_C_M_ Simpson_  _   %1875.txt","A summary of modern history _ translated from the French of M_ Michelet and continued to the present time by M_C_M_ Simpson_  _   ",1875
"Documents/A summary of universal history from the creation to the present time_ In letters from a father to his son_ By Francis Dobbs_ ___ 1800_ Vol 1   %1800.txt","A summary of universal history from the creation to the present time_ In letters from a father to his son_ By Francis Dobbs_ ___ 1800_ Vol 1   ",1800
"Documents/A summary of universal history from the creation to the present time_ In letters from a father to his son_ By Francis Dobbs_ ___ 1800_ Vol 4   %1800.txt","A summary of universal history from the creation to the present time_ In letters from a father to his son_ By Francis Dobbs_ ___ 1800_ Vol 4   ",1800
"Documents/A summary of universal history from the creation to the present time_ In letters from a father to his son_ By Francis Dobbs_ ___ 1800_ Vol 5   %1800.txt","A summary of universal history from the creation to the present time_ In letters from a father to his son_ By Francis Dobbs_ ___ 1800_ Vol 5   ",1800
"Documents/A summary of universal history from the creation to the present time_ In letters from a father to his son_ By Francis Dobbs_ ___ 1800_ Vol 8   %1800.txt","A summary of universal history from the creation to the present time_ In letters from a father to his son_ By Francis Dobbs_ ___ 1800_ Vol 8   ",1800
"Documents/A summary of universal history from the creation to the present time_ In letters from a father to his son_ By Francis Dobbs_ ___ 1800_ Vol 9   %1800.txt","A summary of universal history from the creation to the present time_ In letters from a father to his son_ By Francis Dobbs_ ___ 1800_ Vol 9   ",1800
"Documents/A summary of universal history; in nine volumes_ Exhibiting the rise_ decline_ and revolutions of the different nations of the world_ from the creatio  %1800.txt","A summary of universal history; in nine volumes_ Exhibiting the rise_ decline_ and revolutions of the different nations of the world_ from the creatio  ",1800
"Documents/A system of universal history_ in perspective _ accompanied by an atlas_ exhibiting chronology in a picture of nations_ and progressive geography in a  %1835.txt","A system of universal history_ in perspective _ accompanied by an atlas_ exhibiting chronology in a picture of nations_ and progressive geography in a  ",1835
"Documents/A topical outline of general history_ Designed as a guide to the general reader and for review work in schools_ By Henry L_ Boltwood ____  _   %1886.txt","A topical outline of general history_ Designed as a guide to the general reader and for review work in schools_ By Henry L_ Boltwood ____  _   ",1886
"Documents/A topical outline of general history_ Designed as a guide to the general reader and for review work in schools_ By Henry L_ Boltwood_  _   %1886.txt","A topical outline of general history_ Designed as a guide to the general reader and for review work in schools_ By Henry L_ Boltwood_  _   ",1886
"Documents/Abstracts of Papers _ Brighton and Hove Natural History and Philosophical Society   %1902.txt","Abstracts of Papers _ Brighton and Hove Natural History and Philosophical Society   ",1902
"Documents/Address delivered before the Society of the _Phi Delta Theta__ at the Miami University_ June 29_ 1853_ by the Rev_ E_P_ Humphrey____  _   %1853.txt","Address delivered before the Society of the _Phi Delta Theta__ at the Miami University_ June 29_ 1853_ by the Rev_ E_P_ Humphrey____  _   ",1853
"Documents/Admissions of the plaintiffs and defendants_ and the admitted documents in the trial relating to the town close estate_  _   %1886.txt","Admissions of the plaintiffs and defendants_ and the admitted documents in the trial relating to the town close estate_  _   ",1886
"Documents/Agricultural History 1948-07_ Vol 22 Iss 3   %1948.txt","Agricultural History 1948-07_ Vol 22 Iss 3   ",1948
"Documents/Agricultural History 1949_ Vol 23 Table of Contents   %1949.txt","Agricultural History 1949_ Vol 23 Table of Contents   ",1949
"Documents/Agricultural History 1955-10_ Vol 29 Iss 4   %1955.txt","Agricultural History 1955-10_ Vol 29 Iss 4   ",1955
"Documents/Agricultural History 1956-07_ Vol 30 Iss 3   %1956.txt","Agricultural History 1956-07_ Vol 30 Iss 3   ",1956
"Documents/Agricultural History 1981_ Vol 55 Table of Contents   %1981.txt","Agricultural History 1981_ Vol 55 Table of Contents   ",1981
"Documents/Agricultural History 1987_ Vol 61 Index   %1987.txt","Agricultural History 1987_ Vol 61 Index   ",1987
"Documents/Agricultural History 1988_ Vol 62 Index   %1988.txt","Agricultural History 1988_ Vol 62 Index   ",1988
"Documents/Agricultural History Series 1942-07_ Vol 4   %1942.txt","Agricultural History Series 1942-07_ Vol 4   ",1942
"Documents/Aids for teaching general history_  _   %1888.txt","Aids for teaching general history_  _   ",1888
"Documents/Alberta Historical Review Summer 1960_ Vol 8 Iss 3   %1960.txt","Alberta Historical Review Summer 1960_ Vol 8 Iss 3   ",1960
"Documents/Alfred Campbell_ the young pilgrim_ containing travels in Egypt and the Holy Land _ by Mrs_ Hofland____  _   %1825.txt","Alfred Campbell_ the young pilgrim_ containing travels in Egypt and the Holy Land _ by Mrs_ Hofland____  _   ",1825
"Documents/Alphonso and Elinor_ or the mysterious discovery_ ___ 1800   %1800.txt","Alphonso and Elinor_ or the mysterious discovery_ ___ 1800   ",1800
"Documents/American annual register; for the years 1825_26-1832_33; or the 50th-57th years of American independence_  1825_26_   %1827.txt","American annual register; for the years 1825_26-1832_33; or the 50th-57th years of American independence_  1825_26_   ",1827
"Documents/American Literature a Journal of Literary History Criticism_ and Bibliography 1934-11_ Vol 6 Iss 3   %1934.txt","American Literature a Journal of Literary History Criticism_ and Bibliography 1934-11_ Vol 6 Iss 3   ",1934
"Documents/American Literature a Journal of Literary History Criticism_ and Bibliography March 1971-January 1972_ Vol 43 Index   %1971.txt","American Literature a Journal of Literary History Criticism_ and Bibliography March 1971-January 1972_ Vol 43 Index   ",1971
"Documents/American Literature a Journal of Literary History Criticism_ and Bibliography March 1975-January 1976_ Vol 47 Index   %1975.txt","American Literature a Journal of Literary History Criticism_ and Bibliography March 1975-January 1976_ Vol 47 Index   ",1975
"Documents/American Review_ and Literary Journal October-December 1802_ Vol 2 Iss 4   %1802.txt","American Review_ and Literary Journal October-December 1802_ Vol 2 Iss 4   ",1802
"Documents/An address delivered before the New York Historical Society _ February 23_ 1852 _ by Daniel Webster_  _   %1852.txt","An address delivered before the New York Historical Society _ February 23_ 1852 _ by Daniel Webster_  _   ",1852
"Documents/An address delivered before the New York historical society_  _   %1852.txt","An address delivered before the New York historical society_  _   ",1852
"Documents/An address delivered before the New York Historical Society_ February 23_ 1852_ by Daniel Webster_  _   %1852.txt","An address delivered before the New York Historical Society_ February 23_ 1852_ by Daniel Webster_  _   ",1852
"Documents/An address on the introduction of historical studies into the course of common education; delivered before Oxford County Lyceum_  _   %1831.txt","An address on the introduction of historical studies into the course of common education; delivered before Oxford County Lyceum_  _   ",1831
"Documents/An Analysis of 4D Modeling for Use by the Naval Facilities Engineering Command   %2004.txt","An Analysis of 4D Modeling for Use by the Naval Facilities Engineering Command   ",2004
"Documents/An annual discourse delivered before the Historical Society of Pennsylvania_ November 19_ 1828_ By Thomas M'Kean Pettit_ Esq_  _   %1828.txt","An annual discourse delivered before the Historical Society of Pennsylvania_ November 19_ 1828_ By Thomas M'Kean Pettit_ Esq_  _   ",1828
"Documents/An annual publication of historical papers _ under the supervision of the Department of History_  ser_1-3 (1897-99)_   %1897.txt","An annual publication of historical papers _ under the supervision of the Department of History_  ser_1-3 (1897-99)_   ",1897
"Documents/An easy grammar of history; ancient and modern_ with questions for exercise; by means of which history may be practically taught in schools_ By the Re  %1819.txt","An easy grammar of history; ancient and modern_ with questions for exercise; by means of which history may be practically taught in schools_ By the Re  ",1819
"Documents/An epic poem on Adam and Eve_ With poetry_ on two ladies in disguise_ A short pastoral_ also the soliloquy of a young lady; together with a poem_ an e  %1800.txt","An epic poem on Adam and Eve_ With poetry_ on two ladies in disguise_ A short pastoral_ also the soliloquy of a young lady; together with a poem_ an e  ",1800
"Documents/An epitome of history_ with historical chronological charts_ By J_ E_ Worcester_  _   %1827.txt","An epitome of history_ with historical chronological charts_ By J_ E_ Worcester_  _   ",1827
"Documents/An epitome of universal history_  _   %1848.txt","An epitome of universal history_  _   ",1848
"Documents/An essay on the practical history of sheep in Spain_ and of the Spanish sheep in Saxony_ Anhalt Dessau_ _c_ By George Stumpf_ ___ Translated from the   %1800.txt","An essay on the practical history of sheep in Spain_ and of the Spanish sheep in Saxony_ Anhalt Dessau_ _c_ By George Stumpf_ ___ Translated from the   ",1800
"Documents/An ethnologist's view of history_ An address before the annual meeting of the New Jersey Historical Society_ at Trenton_ New Jersey_ January 28_ 1896_  %1896.txt","An ethnologist's view of history_ An address before the annual meeting of the New Jersey Historical Society_ at Trenton_ New Jersey_ January 28_ 1896_  ",1896
"Documents/An historical and critical dictionary _ selected and abridged from the great work of Peter Bayle ; with a life of Bayle_  v_1_   %1826.txt","An historical and critical dictionary _ selected and abridged from the great work of Peter Bayle ; with a life of Bayle_  v_1_   ",1826
"Documents/An impartial and succinct history of the rise_ declension_ and revival of the Church of Christ; from the birth of our saviour to the present time_ By   %1800.txt","An impartial and succinct history of the rise_ declension_ and revival of the Church of Christ; from the birth of our saviour to the present time_ By   ",1800
